feature,importance
T1c_mean,0.10175584224542039
T1c_std,0.0941138688680032
T1c_median,0.08076939488459801
T1c_p10,0.07199240579779312
T1c_p90,0.06808660011338381
T1c_max,0.05998953931844482
FLAIR_p10,0.05229711772987112
ADC_p10,0.050752564868384746
T1c_min,0.04680082417534749
FLAIR_median,0.046518118297740774
ADC_min,0.03955693910381357
FLAIR_std,0.03758472568877787
FLAIR_mean,0.0371113127394748
FLAIR_p90,0.02976845605162615
ADC_std,0.02961026261107025
tumor_volume_voxels,0.02912670313130761
FLAIR_max,0.025119054911402476
ADC_max,0.024812178440500512
FLAIR_min,0.021759917596298257
ADC_mean,0.020382194757465
ADC_p90,0.01810200137579252
ADC_median,0.013989977293483488
